Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
Humpback Whale,Up to 1700,Up to 30000,"Black, White",45-50,Omnivore,Oceans,Orcas,24-27,Worldwide,Least Concern,Balaenopteridae,365,24-27,Solitary,1,"The humpback whale (Megaptera novaeangliae) is a species of baleen whale known for its impressive size, long pectoral fins, and distinctive hump on its back, which is where it gets its name. These whales are found in oceans around the world, with populations migrating between polar feeding grounds and tropical or subtropical breeding areas. Humpback whales can grow to lengths of up to 16 meters (52 feet) and weigh as much as 36,000 kilograms (79,000 pounds). Their large size and long pectoral fins, which can make up one-third of their body length, contribute to their graceful swimming and acrobatic behaviors. Humpback whales are famous for their breaching behavior, where they leap out of the water and splash back down, as well as their intricate songs.

One of the most remarkable features of humpback whales is their songs, which are produced by males during the breeding season. These songs are long, complex, and can last for up to 30 minutes, with different populations having distinct regional ""dialects."" It is still unclear why humpback whales sing, but scientists believe the songs may play a role in mating, with males possibly using them to attract females or communicate with other males. The songs are made up of a series of moans, grunts, and other sounds, which are repeated and varied over time. These songs can travel great distances underwater, allowing whales to communicate across vast expanses of the ocean.

Humpback whales are filter feeders, using their baleen plates—fringed, comb-like structures in their mouths—to filter small organisms, such as krill, plankton, and small fish, from the water. They often feed in areas where there is a high concentration of these organisms, such as upwelling zones in polar waters. To capture their prey, humpbacks use a variety of feeding techniques. One of the most impressive feeding strategies is bubble net feeding, where a group of humpback whales cooperatively creates a ring of bubbles to corral schools of fish into a tight ball, making it easier to swallow large quantities of prey in a single gulp. Humpbacks are known to have a very high energy demand due to their size and migratory nature, so they must consume vast amounts of food during their feeding season to sustain themselves during migration.

Humpback whales are migratory animals, traveling thousands of kilometers between their feeding grounds in colder, nutrient-rich waters near the poles and their breeding grounds in warmer tropical or subtropical waters. This annual migration can cover distances of up to 5,000 kilometers (3,100 miles) each way. During the migration, humpbacks rely on their energy reserves accumulated in the feeding grounds to sustain them, as they do not feed during their time in warmer waters. The exact route of migration can vary depending on the population, but many humpbacks follow similar paths year after year. The migration is also an important period for reproduction, with females giving birth to calves after a gestation period of about 11 to 12 months.

Reproduction in humpback whales is a long process. Females give birth to a single calf, usually every two to three years. The calf is born in warm, shallow waters and is nursed for several months, relying on its mother's milk to grow and develop. Humpback whale calves are born weighing around 2,000 to 2,500 kilograms (4,400 to 5,500 pounds) and can grow at an astounding rate, gaining about 90 kilograms (200 pounds) per day during the nursing period. After about six months, the calf is weaned and begins to swim and feed on its own. During the first year of life, calves are highly dependent on their mothers for protection and guidance, but they eventually become more independent and capable of migrating on their own."
Iberian Lynx,60-70,14-Sep,Yellowish-brown,13,Carnivore,Mediterranean Scrublands,"Humans, Wildcats",70-80,"Spain, Portugal",Endangered,Felidae,63-67,70-80,Solitary,04-Jan,"The Iberian lynx (Lynx pardinus) is a critically endangered wild cat species native to the Iberian Peninsula, which includes parts of Spain and Portugal. It is the most endangered of the four species of lynx in the world, and its population has been reduced to alarmingly low numbers due to habitat loss, hunting, and a severe decline in its prey base. The Iberian lynx is known for its striking appearance, characterized by its short, tufted ears, a distinctively short tail with a black tip, and its spotted coat, which is a mixture of golden-brown fur with darker spots. Adult males typically weigh between 12 and 15 kilograms (26 to 33 pounds), while females are slightly smaller. These lynxes are solitary creatures, primarily living in dense forests, scrublands, and grasslands where they can hunt and hide from potential threats.

The Iberian lynx is a skilled predator, mainly hunting small to medium-sized mammals, with rabbits being its primary food source. Historically, the abundance of rabbits in the Iberian Peninsula supported a thriving lynx population, but in recent decades, rabbit numbers have dramatically declined due to diseases such as myxomatosis and rabbit hemorrhagic disease. This significant loss of prey, combined with habitat destruction, led to the drastic decline in the Iberian lynx population, which reached critically low levels by the early 2000s. At one point, it was estimated that only around 100 individuals remained in the wild, confined to isolated pockets in southern Spain. The species' diet and habitat preferences make it particularly vulnerable to changes in its environment.

The reproductive behavior of the Iberian lynx is an important aspect of its survival and conservation. These lynxes generally breed in the winter months, with females giving birth to litters of one to four cubs after a gestation period of around two months. The cubs are born blind and helpless, relying entirely on their mother's care for the first few months of life. They are gradually introduced to solid food as they grow, and by the time they are six months old, they begin to learn to hunt on their own, though they remain dependent on their mother for up to a year. Given the slow reproduction rate of the species and its low population numbers, conservation efforts have focused on increasing reproduction rates and reintroducing captive-bred lynxes into the wild to strengthen the gene pool and ensure the long-term survival of the species.

Conservation efforts for the Iberian lynx have been intense and multi-faceted. A major success has been the Iberian Lynx Conservation Program, which began in the early 2000s and involved breeding and releasing captive lynxes, restoring habitats, and boosting rabbit populations. These efforts have been supported by both local governments and international organizations. Reintroductions of captive-born lynxes have taken place in several areas of southern Spain, where suitable habitats and prey populations are being restored. The program also includes the construction of wildlife corridors to connect fragmented habitats, allowing lynx populations to expand and interbreed more effectively. Additionally, efforts have been made to reduce human-related threats to the lynx, such as vehicle collisions, poaching, and the destruction of their habitat.

As a result of these concerted efforts, the Iberian lynx population has shown signs of recovery. From fewer than 100 individuals in the early 2000s, the population has grown to around 1,000 individuals as of the most recent estimates. The species has been successfully reintroduced to areas where it had disappeared, and it is now expanding its range in parts of southern Spain and Portugal. The Iberian lynx has also benefited from the establishment of protected areas, including national parks and nature reserves, where conservation measures are strictly enforced. The increasing number of successful breeding pairs and growing populations are signs of hope for the future of the species, although the Iberian lynx remains classified as Critically Endangered by the International Union for Conservation of Nature (IUCN)."
Indri,Up to 70,Up to 6,"Black, White",15-18,Herbivore,Rainforests,"Fossa, Birds of Prey",24-27,Madagascar,Critically Endangered,Indridae,120-140,24-27,Solitary,1,"The indri (Indri indri), also known as the indris or indris lemur, is one of the largest and most distinctive lemurs, native to the rainforests of Madagascar. It is a member of the Indriidae family, which includes other lemurs such as the sifakas. Known for its striking appearance, the indri has a stout, robust body with a thick, woolly coat that is typically black or dark brown, with some individuals displaying white markings on their limbs, chest, and head. Its large, expressive eyes and round face give it a unique and captivating appearance. Adult indris can grow up to about 70 cm (28 inches) in body length, with an additional 35 cm (14 inches) of tail length, though they are tailless, a rare trait among lemurs. They weigh between 6 to 10 kilograms (13 to 22 pounds), making them one of the largest species of lemur.

Indris are arboreal creatures, spending most of their lives in the trees of Madagascar's dense rainforests. Their strong, muscular legs and long, flexible limbs allow them to move with remarkable agility between branches, leaping from tree to tree with ease. Unlike many other lemurs, indris are not known for climbing or moving along the forest floor. Their preferred habitat consists of primary and secondary forests, often in the highland regions of eastern Madagascar, where they thrive in the upper canopy. Indris are primarily herbivorous, feeding mainly on leaves, fruits, flowers, and seeds, though they are known to favor certain species of plants that are abundant in their forest home. Their diet is low in energy, and as a result, they have a slow metabolism, which is reflected in their leisurely activity patterns.

One of the most notable aspects of the indri is its vocalizations. The indri is famous for its haunting, loud, and complex songs, which can be heard echoing through the forest. These vocalizations are used for communication between individuals, especially during mating season or to mark territory. The indri’s song is often described as a series of loud, melodious calls that can carry over long distances, reaching up to 2 kilometers (1.2 miles). These calls serve several functions, including helping indris locate one another, warn of potential predators, or communicate within groups. The song is typically performed at dawn or dusk, when the indris are most active, and is a critical part of their social behavior.

The indri is a social but solitary animal in terms of its family structure. These lemurs are usually found in small family groups, typically consisting of a mated pair and their offspring. Groups are territorial, and their home ranges can overlap with those of neighboring groups. Indris are known to be monogamous, with strong pair bonds between males and females. After a gestation period of about 120 days, the female gives birth to a single offspring, which remains with the parents for up to three years. The young indri is carried by its mother until it is old enough to move independently, at which point it starts to venture out and forage for food. However, indris remain closely bonded with their families, often staying within the same general area for much of their lives.

Conservation efforts aimed at protecting the indri focus on habitat preservation and restoration. The establishment of protected areas and national parks, such as Andasibe-Mantadia National Park, where many indris are found, has been a crucial step in conserving their populations. In addition to habitat protection, there are ongoing efforts to raise awareness about the importance of indri conservation and the threats they face. Local communities are also involved in conservation initiatives, such as eco-tourism and sustainable forest management, to provide economic alternatives to logging and land clearing."
Japanese Giant Hornet,35-55,Up to 6,"Yellow, Black",6,"Carnivore, Insectivore","Forests, Mountains","Birds, Bees",40-58,"Japan, China, Southeast Asia",Not Evaluated,Vespidae,1 week,Not Applicable,Colony-based,Thousands,"The Japanese giant hornet (Vespa mandarinia) is a large species of hornet native to East Asia, particularly Japan, Korea, China, and parts of Southeast Asia. It is known for its impressive size, potent sting, and aggressive nature. Adult Japanese giant hornets can reach up to 5 cm (2 inches) in length, making them one of the largest hornet species in the world. They have a distinctive appearance, with a robust, orange-yellow thorax and a dark brown to black abdomen, which is often marked with yellow bands. The hornets also have large mandibles, which they use to capture and kill prey, as well as to defend their nests.

The Japanese giant hornet is primarily carnivorous, preying on other insects, including honeybees, which are a significant part of their diet. These hornets are skilled hunters and often attack honeybee colonies. They use their strong mandibles to decapitate worker bees and carry the bodies back to their nests to feed their larvae. This predation can be devastating to local honeybee populations, and in some cases, entire bee colonies may be wiped out by a single hornet attack. The hornet larvae are fed a diet of partially digested insects, while adult hornets consume sugary substances, such as nectar and tree sap.

The nest of the Japanese giant hornet is usually constructed underground or in hollow trees, though they have also been known to build nests in attics or other sheltered locations. Nests can become quite large, with a single colony sometimes containing several thousand hornets during the peak of the summer season. These colonies are headed by a queen, which starts the nest in the spring and produces eggs that develop into workers and new queens. Worker hornets are responsible for gathering food, defending the nest, and caring for the young, while the new queens will leave the nest in the fall to mate and establish new colonies the following year.

One of the most notable features of the Japanese giant hornet is its potent venom, which is delivered through a large stinger located at the end of the abdomen. The venom contains a mix of toxic compounds, including proteins that affect the nervous system and cause intense pain, as well as enzymes that can cause tissue damage. The sting can cause severe allergic reactions in some individuals, and multiple stings can be potentially life-threatening. In Japan, fatalities from hornet stings are rare but do occur, particularly in cases of severe allergic reactions or when individuals are stung multiple times. Japanese giant hornets are also known for their aggressive behavior when defending their nests, and they may chase perceived threats for long distances.

While the Japanese giant hornet is native to East Asia, it has gained attention in other parts of the world due to its accidental introduction to new regions. In 2019, a small population of Japanese giant hornets was discovered in the United States, specifically in Washington state, raising concerns about the potential ecological impact. There are fears that the hornets could harm local bee populations and disrupt ecosystems where they are not native. However, despite the alarm, experts note that the hornet's presence outside of its native range does not necessarily guarantee widespread invasion, and efforts are being made to monitor and contain the population.

The Japanese giant hornet's reputation for aggressiveness is somewhat exaggerated in popular media, but it is true that they can be dangerous, especially when disturbed. While hornets do not typically seek out human interaction, they will aggressively defend their nests if they feel threatened. The venomous sting can cause intense pain, swelling, and, in extreme cases, anaphylaxis, a severe allergic reaction. As a result, caution is advised when in areas where Japanese giant hornets are present, especially during the late summer and fall when the hornets are most active."
Japanese Macaque,50-60,14-Oct,Brown,20-30,Omnivore,"Forests, Mountains","Humans, Leopards",30,"Japan, China, North Korea",Least Concern,Cercopithecidae,173-194,30,Social groups,1,"The Japanese macaque (Macaca fuscata), also known as the snow monkey, is a species of primate native to Japan. It is one of the most well-known and widely distributed monkey species in Japan, found across a variety of habitats, from subtropical forests to the cold, mountainous regions of the country. The Japanese macaque is a medium-sized monkey, with adult males typically weighing between 11 to 14 kilograms (24 to 31 pounds) and adult females weighing slightly less, around 8 to 11 kilograms (18 to 24 pounds). They have thick fur coats, which vary in color from gray to brown, helping them survive in colder climates. In fact, the Japanese macaque is the northernmost-living primate species in the world, making it well-adapted to colder environments.

These monkeys are highly social animals, living in troops that can range in size from a few individuals to over 100, depending on the availability of food and habitat. The structure of these troops is complex, with social hierarchies and strong bonds, especially between mothers and their offspring. Males tend to leave their natal groups when they mature, while females usually remain in their birth groups for life. Within a troop, individuals have a pecking order, with dominant individuals having priority access to food and mating opportunities. These social bonds help ensure cooperation within the group, such as sharing food or helping care for young. Japanese macaques are known for their strong family ties, and infant care is shared by multiple members of the group.

The diet of the Japanese macaque is omnivorous, consisting of a wide range of foods including fruits, seeds, leaves, insects, small animals, and even crops. Their ability to adapt to various food sources is one reason they are so successful in a variety of environments. They are also known for their ""food sharing"" behavior, where individuals may pass food items to others in the group. In winter, when food is scarce, Japanese macaques may forage more aggressively, using their intelligence to find food sources such as roots and bark, or they may visit agricultural areas where they can find crops.

One of the most remarkable behaviors of the Japanese macaque is its ability to adapt to cold temperatures. In the snowy mountains of Japan, especially in places like Jigokudani Monkey Park, these monkeys have become famous for their habit of bathing in hot springs during the winter. The hot springs provide warmth and comfort in the harsh cold, and the sight of macaques soaking in the steaming waters has become a popular tourist attraction. This behavior is believed to be a way for the macaques to regulate their body temperature and relieve stress. The monkeys also use their grooming behaviors to maintain warmth, as grooming helps strengthen social bonds and provides both physical and emotional comfort.

In terms of reproduction, the female Japanese macaques have a relatively long gestation period of about 6 months, giving birth to a single infant, though twins can occasionally occur. The baby macaques are born with a black face and pink skin, and they cling to their mothers for the first few months of life. Over time, they begin to explore their environment and start eating solid food, though they are still reliant on their mothers for milk until about 6 months of age. Mothers are very protective of their young and will often carry them on their bellies or backs. The young stay with their mothers until they are old enough to socialize with other group members and begin the process of learning the behaviors of the troop.

Despite their adaptability and wide distribution, Japanese macaques face threats from habitat loss and human-wildlife conflict. As human populations in Japan grow, macaques are often forced into closer proximity with urban areas, where they sometimes raid crops or scavenge garbage. In some cases, this has led to negative interactions with humans, though Japanese macaques are generally not aggressive toward humans unless provoked. Conservation efforts are focused on ensuring that their natural habitats remain protected and on educating the public about coexistence with these fascinating primates."
Kakapo,Up to 60,Up to 4,Green,60+,Herbivore,"Forests, Islands","Rats, Cats",2.5,New Zealand,Critically Endangered,Strigopidae,21-24,2.4,Solitary,1-4 (usually 1),"The kākāpō (Strigops habroptila), sometimes known as the owl parrot or owl-faced parrot, is a species of large, nocturnal, ground-dwelling parrot of the superfamily Strigopoidea. It is endemic to New Zealand.

The kākāpō is considered to be a ""habitat generalist"". Though they are now confined to islands free of predation, they were once able to live in nearly any climate present on the islands of New Zealand. They survived dry, hot summers on the North Island as well as cold winter temperatures in the sub-alpine areas of Fiordland. Kākāpō seem to have preferred broadleaf or mountain beech and Hall's tōtara forest with mild winters and high rainfall, but the species was not exclusively forest-dwelling.

Kākāpō can be up to 64 cm (25 in) long. They have a combination of unique traits among parrots: finely blotched yellow-green plumage, a distinct facial disc, owl-style forward-facing eyes with surrounding discs of specially-textured feathers, a large grey beak, short legs, large blue feet, relatively short wings and a short tail. It is the world's only flightless parrot, the world's heaviest parrot, and also is nocturnal, herbivorous, visibly sexually dimorphic in body size, has a low basal metabolic rate, and does not have male parental care. It is the only parrot to have a polygynous lek breeding system. It is also possibly one of the world's longest-living birds, with a reported lifespan of up to 100 years. Adult males weigh around 1.5–3 kilograms (3.3–6.6 lb); the equivalent figure for females is 0.950–1.6 kilograms (2.09–3.53 lb).

The anatomy of the kākāpō typifies the tendency of bird-evolution on oceanic islands. With few predators and abundant food, kākāpō exhibit island syndrome development, having a generally-robust torso physique at the expense of flight abilities, resulting in reduced shoulder- and wing-muscles, along with a diminished keel on the sternum. Like many other New Zealand bird species, the kākāpō was historically important to Māori, the indigenous people of New Zealand. It appears in Māori mythology. Heavily hunted in the past, it was used by the Māori both for its meat and for its feathers.

The kākāpō is primarily nocturnal; it roosts under cover in trees or on the ground during the day and moves around its territories at night. Though the kākāpō cannot fly, it is an excellent climber, ascending to the crowns of the tallest trees. It can also ""parachute"" – descending by leaping and spreading its wings. In this way it may travel a few metres at an angle of less than 45 degrees. With only 3.3% of its mass made up of pectoral muscle, it is no surprise that the kākāpō cannot use its wings to lift its heavy body off the ground. Because of its flightlessness, it has very low metabolic demands in comparison to flighted birds. It is able to survive easily on very little or on very low quality food sources. Unlike most other bird species, the kākāpō is entirely herbivorous, feeding on fruits, seeds, leaves, stems, and rhizomes. When foraging, kākāpō tend to leave crescent-shaped wads of fiber in the vegetation behind them, called ""browse signs"".

The kākāpō is critically endangered; the total known population of living individuals is 244 (as of 2024). Known individuals are named, tagged and confined to four small New Zealand islands, all of which are clear of predators; however, in 2023, a reintroduction to mainland New Zealand (Sanctuary Mountain Maungatautari) was accomplished. Introduced mammalian predators, such as cats, rats, ferrets, and stoats almost wiped out the kākāpō. All conservation efforts were unsuccessful until the Kākāpō Recovery Programme began in 1995."
Kangaroo Rat,15-Jul,0.035-0.15,"Brown, Gray",5,Herbivore,Deserts,"Snakes, Birds of Prey",16,North America,Least Concern,Heteromyidae,22-24,16,Solitary,05-Feb,"Kangaroos are marsupials from the family Macropodidae (macropods, meaning ""large foot""). In common use the term is used to describe the largest species from this family, the red kangaroo, as well as the antilopine kangaroo, eastern grey kangaroo, and western grey kangaroo. Kangaroos are indigenous to Australia and New Guinea. The Australian government estimates that 42.8 million kangaroos lived within the commercial harvest areas of Australia in 2019, down from 53.2 million in 2013.

As with the terms ""wallaroo"" and ""wallaby"", ""kangaroo"" refers to a paraphyletic grouping of species. All three terms refer to members of the same taxonomic family, Macropodidae, and are distinguished according to size. The largest species in the family are called ""kangaroos"" and the smallest are generally called ""wallabies"". The term ""wallaroos"" refers to species of an intermediate size. There are also the tree-kangaroos, another type of macropod, which inhabit the tropical rainforests of New Guinea, far northeastern Queensland and some of the islands in the region. This kind of kangaroo lives in the upper branches of trees. A general idea of the relative size of these informal terms could be:
wallabies: head and body length of 45–105 cm and tail length of 33–75 cm; the dwarf wallaby (the smallest of all known macropod species) is 46 cm long and weighs 1.6 kg;
tree-kangaroos: ranging from Lumholtz's tree-kangaroo: body and head length of 48–65 cm, tail of 60–74 cm, weight of 7.2 kg (16 lb) for males and 5.9 kg (13 lb) for females; to the grizzled tree-kangaroo: length of 75–90 cm (30 to 35 in) and weight of 8–15 kg (18–33 lb);
wallaroos: the black wallaroo (the smaller of the two species) with a tail length of 60–70 cm and weight of 19–22 kg (41.8–48.5 lb) for males and 13 kg (28.6 lb) for females;
kangaroos: a large male can be 2 m (6 ft 7 in) tall and weigh 90 kg (200 lb).
Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like most marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.

Because of its grazing habits, the kangaroo has developed specialized teeth that are rare among mammals. Its incisors are able to crop grass close to the ground and its molars chop and grind the grass. Since the two sides of the lower jaw are not joined or fused together, the lower incisors are farther apart, giving the kangaroo a wider bite. The silica in grass is abrasive, so kangaroo molars are ground down and they actually move forward in the mouth before they eventually fall out, and are replaced by new teeth that grow in the back. This process is known as polyphyodonty and, amongst other mammals, only occurs in elephants and manatees.

The large kangaroos have adapted much better than the smaller macropods to land clearing for pastoral agriculture and habitat changes brought to the Australian landscape by humans. Many of the smaller species are rare and endangered, while kangaroos are relatively plentiful, despite a common misconception to the contrary.

The kangaroo along with the koala are symbols of Australia. A kangaroo appears on the Australian coat of arms and on some of its currency, and is used as a logo for some of Australia's most well-known organisations, such as Qantas, and as the roundel of the Royal Australian Air Force. The kangaroo is important to both Australian culture and the national image, and consequently there are numerous popular culture references.

Wild kangaroos are shot for meat, leather hides, and to protect grazing land. Kangaroo meat has perceived health benefits for human consumption compared with traditional meats due to the low level of fat on kangaroos."
King Cobra,Up to 550,Up to 9,Olive-green,20-30,Carnivore,"Grasslands, Forests","Birds, Snakes",20,"Southeast Asia, South Asia",Vulnerable,Elapidae,90-113,20,Solitary,20-40,"The king cobra (Ophiophagus hannah) is a species complex of snakes endemic to Asia. With an average of 3.18 to 4 m (10.4 to 13.1 ft) and a record length of 5.85 m (19.2 ft), it is the world's longest venomous snake and among the heaviest. Under the genus Ophiophagus, it is not phylogenetically a true cobra despite its common name and some resemblance. Spanning from the Indian Subcontinent through Southeastern Asia to Southern China, the king cobra is widely distributed albeit not commonly seen.

Individuals have diversified colouration across its habitats, from black with white strips to unbroken brownish grey, although after taxonomic re-evaluation, it is no longer the sole member of its genus but is now a species complex; these differences in pattern and other aspects may cause the genus to be split into at least four species, spread across its large geographic range .

Like other snakes, a king cobra receives chemical information via its forked tongue, which picks up scent particles and transfers them to a sensory receptor (Jacobson's organ) located in the roof of its mouth. When it detects the scent of prey, it flicks its tongue to gauge the prey's location, with the twin forks of the tongue acting in stereo. It senses earth-borne vibration and detects moving prey almost 100 m (330 ft) away. Following envenomation, it swallows its prey whole. Because of its flexible jaws, it can swallow prey much larger than its head. It is considered diurnal because it hunts during the day, but has also been seen at night, rarely.

It chiefly hunts other snakes, including those of its own kind, although other lizards and rodents are occasional prey items. This is the only ophidian that constructs an above-ground nest for its eggs, which are purposefully and meticulously gathered and protected by the female throughout the incubation period. Typical threat display of this elapid includes neck-flap spreading, head raising, hissing and sometimes charging. Capable of striking at a considerable range and height with an immense venom yield, envenomation from this species may induce rapid onset of neurotoxic and cytotoxic symptoms, requiring prompt antivenom administration. 

The king cobra is not considered aggressive. It usually avoids humans and slinks off when disturbed, but is known to aggressively defend incubating eggs and attack intruders rapidly. When alarmed, it raises the front part of its body, extends the hood, shows the fangs and hisses loudly. Wild king cobras encountered in Singapore appeared to be placid, but reared up and struck in self defense when cornered. 

The king cobra can be easily irritated by closely approaching objects or sudden movements. When raising its body, the king cobra can still move forward to strike with a long distance, and people may misjudge the safe zone. It can deliver multiple bites in a single attack.

Threatened by habitat destruction, it has been listed as Vulnerable on the IUCN Red List since 2010. Regarded as the national reptile of India, it has an eminent position in the mythology and folk traditions of India, Bangladesh, Sri Lanka and Myanmar."
Kiwi,25-46,1.0-3.3,Brown,25-50,Omnivore,Forests,"Stoats, Cats",6.4-9.6,New Zealand,Vulnerable,Apterygidae,63-92,9,Solitary,1,"Kiwi are flightless birds endemic to New Zealand of the order Apterygiformes. The five extant species fall into the family Apterygidae and genus Apteryx Approximately the size of a domestic chicken, kiwi are the smallest ratites (which also include ostriches, emus, rheas, cassowaries and the extinct elephant birds and moa).

DNA sequence comparisons have yielded the conclusion that kiwi are much more closely related to the extinct Malagasy elephant birds than to the moa with which they shared New Zealand. There are five recognised species, four of which are currently listed as vulnerable, and one of which is near threatened. All species have been negatively affected by historic deforestation, but their remaining habitat is well protected in large forest reserves and national parks. At present, the greatest threat to their survival is predation by invasive mammalian predators.

The vestigial wings are so small as to be invisible under their bristly, hair-like, two-branched feathers. While most adult birds have bones with hollow insides to minimise weight and make flight practicable, kiwi have marrow, like mammals and the young of other birds. Kiwi eggs are one of the largest in proportion to body size (up to 20% of the female's weight) of any order of bird in the world. Other unique adaptations of kiwi, such as short and stout legs and using their nostrils at the end of their long beak to detect prey before they see it, have helped the bird to become internationally well known.

Before the arrival of humans in the 13th century or earlier, New Zealand's only endemic mammals were three species of bat, and the ecological niches that in other parts of the world were filled by creatures as diverse as horses, wolves and mice were taken up by birds (and, to a lesser extent, reptiles, insects and gastropods).

The kiwi's mostly nocturnal habits may be a result of habitat intrusion by predators, including humans. In areas of New Zealand where introduced predators have been removed, such as sanctuaries, kiwi are often seen in daylight. They prefer subtropical and temperate podocarp and beech forests, but they are being forced to adapt to different habitat, such as sub-alpine scrub, tussock grassland, and the mountains. Kiwi have a highly developed sense of smell, unusual in a bird, and are the only birds with nostrils at the end of their long beaks. Kiwi eat small invertebrates, seeds, grubs, and many varieties of worms. They also may eat fruit, small crayfish, eels and amphibians. Because their nostrils are located at the end of their long beaks, kiwi can locate insects and worms underground using their keen sense of smell, without actually seeing or feeling them.

This sense of smell is due to a highly developed olfactory chamber and surrounding regions. It is a common belief that the kiwi relies solely on its sense of smell to catch prey but this has not been scientifically observed. Lab experiments have suggested that A. australis can rely on olfaction alone but is not consistent under natural conditions. Instead, the kiwi may rely on auditory and/or vibrotactile cues.

The kiwi is recognised as an icon of New Zealand, and the association is so strong that the term Kiwi is used internationally as the colloquial demonym for New Zealanders."
Komodo Dragon,Up to 300,Up to 90,Grey,20-30,Carnivore,"Islands, Grasslands","Humans, Larger Predators",20,Indonesia,Vulnerable,Varanidae,7-8 months,20,Solitary,20-25,"The Komodo dragon (Varanus komodoensis), also known as the Komodo monitor, is a large reptile of the monitor lizard family Varanidae that is endemic to the Indonesian islands of Komodo, Rinca, Flores, and Gili Motang. It is the largest extant species of lizard, with the males growing to a maximum length of 3 m (9.8 ft) and weighing up to 150 kg (330 lb).

The Komodo dragon has a tail as long as its body, as well as about 60 frequently replaced, serrated teeth that can measure up to 2.5 cm (1 in) in length. Its saliva is frequently blood-tinged because its teeth are almost completely covered by gingival tissue that is naturally lacerated during feeding. It also has a long, yellow, deeply forked tongue. Komodo dragon skin is reinforced by armoured scales, which contain tiny bones called osteoderms that function as a sort of natural chain-mail.

As a result of their size, Komodo dragons are apex predators, and dominate the ecosystems in which they live. Komodo dragons hunt and ambush prey including invertebrates, birds, and mammals. Komodo dragons' group behavior in hunting is exceptional in the reptile world. The diet of Komodo dragons mainly consists of Javan rusa (Rusa timorensis), though they also eat considerable amounts of carrion. Komodo dragons also occasionally attack humans.

The Komodo dragon prefers hot and dry places and typically lives in dry, open grassland, savanna, and tropical forest at low elevations. As an ectotherm, it is most active in the day, although it exhibits some nocturnal activity. Komodo dragons are solitary, coming together only to breed and eat. They are capable of running rapidly in brief sprints up to 20 km/h (12 mph), diving up to 4.5 m (15 ft), and climbing trees proficiently when young through use of their strong claws. To catch out-of-reach prey, the Komodo dragon may stand on its hind legs and use its tail as a support. As it matures, its claws are used primarily as weapons, as its great size makes climbing impractical.

Mating begins between May and August, and the eggs are laid in September; as many as 20 eggs are deposited at a time in an abandoned megapode nest or in a self-dug nesting hole. The eggs are incubated for seven to eight months, hatching in April, when insects are most plentiful. Young Komodo dragons are vulnerable and dwell in trees to avoid predators, such as cannibalistic adults, which young Komodo dragons also try to repel by rolling in feces. They take 8 to 9 years to mature and are estimated to live up to 30 years.

Komodo dragons were first recorded by Western scientists in 1910. Their large size and fearsome reputation make them popular zoo exhibits. In the wild, their range has been reduced by human encroachment and is likely to contract further from the effects of climate change; hence, they are listed as Endangered by the IUCN Red List. They are protected under Indonesian law, and Komodo National Park was founded in 1980 to aid protection efforts."
